latest,system,pricing,version,results,multi result,params
Y,9750H mac,,3.0.0,0.344619,0.078991,
Y,9750H mac,,2.7.1,0.356583,0.050605,
Y,9750H mac,,2.7.0,0.350059,0.051397,
N,"3900X (12, 32 GiB)",,2.7.2,0.367528,0.079102,ROW/12/10000
Y,AWS Lambda @ 10240MB,,,0.389874499,,
N,t3.nano (2 vCPU/0.5 GiB),$0.0052/hour,2.7.0,0.40454927,,
Y,"Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz, 2712 Mhz, 4 Core(s), 4 Logical Processor(s)",,2.7.2,0.4326898,0.1289071,ROW/4/20000
N,t4g.nano (2 vCPU/0.5 GiB),$0.0042/hour,2.7.0,0.482845551,,
N,t3a.nano (2 vCPU/0.5 GiB),$0.0047/hour,2.7.0,0.551661366,,
N,Linode,,2.7.1,0.673772523,,
Y,AWS Lambda @ 1024MB,,,0.694438218,,
N,"Scaleway DEV1-S (2 x86, 64bit, 2GB)",0.01 Euro/hour,2.7.0,0.746944434,,
Y,"NUC Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz, 2100 Mhz, 2 Core(s), 4 Logical Processor(s)",,2.7.2,0.7899724,0.2329815,ROW/4/20000
N,"Scaleway GP1-XS (4 x86, 64bit, 16GB)",0.084 Euro/hour,2.7.0,0.812311923,,
Y,Late 2011 Mac Intel(R) Core i5 @ 2.4 GHz on macOS High Sierra,,2.7.2,0.904865,,
Y,9750H,,3.0.0,1.057038,0.382521,ROW/4/20000
Y,Late 2011 Mac Intel(R) Core i5 @ 2.4 GHz on macOS High Sierra,,3.0.0,1.057038,0.382521,ROW/4/20000
Y,Mid 2009 Mac Intel(R) Core(TM) 2 Duo CPU P7550 @ 2.26GHz on Manjaro,,2.7.1,1.143783375,,
Y,Samsung 303C,,2.7.2,3.16853421,0.859376958,ROW/4/20000
Y,Pi 3 Model B 1 GB (Ubuntu 20.04 LTS),,2.5.5,3.324672374,1.149214847,ROW/4/20000
Y,Pi 3 Model B 1 GB (Raspbian 10 Buster),,2.5.5,4.065682554,1.294839036,ROW/4/20000
Y,Pi 3 Model B 1 GB (Raspbian 10 Buster),,2.7.2,4.53079041,1.907381903,ROW/4/20000
Y,AWS Lambda @ 128MB,,,6.432826346,,
Y,Pi Zero W,,2.5.1,20.82450541,,
